parca,x_m,y_m,z_m
wheel_fl,-0.00000,1.01736,0.44911
wheel_fr,-0.00000,-1.01736,0.44911
wheel_rl,-4.44282,0.95052,0.44911
wheel_rr,-4.44282,-0.95052,0.44911
