parca,x_m,y_m,z_m
trailer_wheel_1l,-11.19500,0.92420,0.54000
trailer_wheel_1r,-11.19500,-0.92430,0.54000
trailer_wheel_2l,-12.58700,0.92420,0.54000
trailer_wheel_2r,-12.58700,-0.92430,0.54000
trailer_wheel_3l,-13.97900,0.92420,0.54000
trailer_wheel_3r,-13.97900,-0.92430,0.54000
wheel_fl,0.00000,1.10820,0.54000
wheel_fr,0.00000,-1.10780,0.54000
wheel_rl,-3.92850,0.92420,0.54000
wheel_rr,-3.92850,-0.92430,0.54000
